experience_years,price,duration_hours,interest,education_level,formation_category,has_java,has_spring,has_sql,has_python,has_management,label
6,276,12,LANGUAGES,INGENIEUR,LANGUES,0,1,0,1,0,1
13,202,34,MANAGEMENT,LICENCE,LANGUES,0,0,1,0,0,0
8,318,20,MANAGEMENT,LICENCE,BUSINESS,1,0,1,1,1,1
3,190,29,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,0,1
9,491,23,BACKEND,LICENCE,LANGUES,1,0,1,1,1,0
5,327,22,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,1,1
10,313,18,LANGUAGES,INGENIEUR,LANGUES,0,1,1,1,1,1
11,508,15,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
8,170,40,MANAGEMENT,LICENCE,BUSINESS,0,0,1,0,0,0
5,855,12,MANAGEMENT,LICENCE,LANGUES,0,1,0,1,0,0
11,814,42,LANGUAGES,MASTER,LANGUES,0,1,1,1,1,1
7,328,42,MANAGEMENT,LICENCE,DATA_SCIENCE,1,0,0,0,0,0
4,313,30,LANGUAGES,LICENCE,LANGUES,0,0,0,1,1,1
11,357,17,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,0,1
10,180,17,MANAGEMENT,LICENCE,BUSINESS,0,1,0,0,1,1
11,234,37,OTHER,INGENIEUR,DATA_SCIENCE,0,0,0,1,1,0
14,525,41,MANAGEMENT,INGENIEUR,INFORMATIQUE,0,0,1,1,0,0
4,228,40,OTHER,INGENIEUR,INFORMATIQUE,1,0,1,0,1,0
3,359,28,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,1,1
10,483,30,MANAGEMENT,LICENCE,BUSINESS,1,0,1,0,1,1
1,633,21,OTHER,MASTER,LANGUES,1,1,0,1,0,0
11,226,23,LANGUAGES,INGENIEUR,LANGUES,0,1,1,1,0,1
0,634,12,LANGUAGES,LICENCE,DATA_SCIENCE,1,0,1,0,0,0
7,240,23,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,1,1,1
8,369,24,DATA,LICENCE,DATA_SCIENCE,1,0,1,1,0,1
7,869,32,LANGUAGES,INGENIEUR,BUSINESS,1,1,1,0,0,0
11,482,26,BACKEND,LICENCE,INFORMATIQUE,1,1,0,1,1,1
5,660,45,MANAGEMENT,LICENCE,LANGUES,0,1,1,0,1,0
9,231,29,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,1,1,1
0,871,16,LANGUAGES,MASTER,LANGUES,0,0,1,1,0,0
2,218,12,MANAGEMENT,INGENIEUR,BUSINESS,1,1,1,0,1,1
14,359,16,BACKEND,MASTER,INFORMATIQUE,0,1,0,1,0,1
6,404,31,MANAGEMENT,INGENIEUR,BUSINESS,0,1,0,0,1,1
10,287,14,MANAGEMENT,LICENCE,BUSINESS,1,0,1,1,1,1
5,432,22,LANGUAGES,INGENIEUR,LANGUES,1,0,1,1,1,1
14,673,39,DATA,INGENIEUR,LANGUES,1,0,1,1,0,0
11,387,19,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,0,1,1
12,180,32,DATA,MASTER,BUSINESS,0,1,1,0,0,0
12,792,43,OTHER,INGENIEUR,DATA_SCIENCE,0,0,0,1,0,0
7,362,12,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,0,1
10,197,19,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
11,674,40,MANAGEMENT,LICENCE,DATA_SCIENCE,1,1,1,0,1,0
7,409,17,BACKEND,MASTER,INFORMATIQUE,1,1,1,0,1,1
7,292,48,MANAGEMENT,INGENIEUR,INFORMATIQUE,0,1,1,0,0,0
9,486,15,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,0,1
15,174,18,LANGUAGES,LICENCE,BUSINESS,0,1,0,0,1,0
3,489,30,MANAGEMENT,MASTER,BUSINESS,0,0,0,1,1,1
2,321,21,MANAGEMENT,INGENIEUR,BUSINESS,0,0,0,1,1,1
0,296,22,LANGUAGES,INGENIEUR,DATA_SCIENCE,0,0,0,1,0,0
15,203,25,LANGUAGES,LICENCE,DATA_SCIENCE,0,1,1,1,1,0
7,483,18,LANGUAGES,INGENIEUR,LANGUES,0,0,1,1,1,0
13,313,38,MANAGEMENT,MASTER,DATA_SCIENCE,1,0,1,1,1,0
10,467,26,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,0,1
10,395,33,BACKEND,LICENCE,DATA_SCIENCE,0,0,0,0,0,0
8,475,20,DATA,MASTER,BUSINESS,0,1,0,1,1,0
3,286,14,MANAGEMENT,MASTER,BUSINESS,0,1,1,1,1,1
3,447,24,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,0,1
15,444,20,MANAGEMENT,LICENCE,INFORMATIQUE,0,1,1,0,1,0
11,261,17,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,1,1
2,140,47,DATA,INGENIEUR,INFORMATIQUE,1,1,0,1,1,0
8,348,29,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,0,1
15,251,26,OTHER,MASTER,DATA_SCIENCE,0,0,0,1,0,0
0,365,36,MANAGEMENT,INGENIEUR,BUSINESS,1,0,1,1,1,0
3,469,13,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,0
10,435,24,LANGUAGES,INGENIEUR,LANGUES,1,0,0,0,1,0
8,154,34,DATA,INGENIEUR,BUSINESS,0,1,1,0,1,0
4,302,44,MANAGEMENT,LICENCE,DATA_SCIENCE,1,1,1,1,0,0
2,305,25,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,0,1
2,370,27,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
10,622,15,LANGUAGES,INGENIEUR,INFORMATIQUE,1,0,1,0,1,0
3,440,19,DATA,MASTER,DATA_SCIENCE,1,0,1,1,0,1
4,408,13,MANAGEMENT,INGENIEUR,BUSINESS,1,0,1,1,1,1
6,525,19,DATA,INGENIEUR,BUSINESS,0,1,1,0,1,0
11,267,9,MANAGEMENT,MASTER,DATA_SCIENCE,1,1,0,1,0,0
13,132,22,MANAGEMENT,MASTER,DATA_SCIENCE,0,1,1,0,0,0
11,454,17,LANGUAGES,INGENIEUR,LANGUES,1,1,0,0,0,1
3,157,32,BACKEND,INGENIEUR,LANGUES,1,1,1,1,1,0
7,410,24,DATA,MASTER,DATA_SCIENCE,0,1,1,1,1,1
7,221,31,LANGUAGES,LICENCE,LANGUES,0,1,0,1,1,1
12,724,36,DATA,INGENIEUR,BUSINESS,0,1,0,1,0,0
9,202,21,LANGUAGES,LICENCE,LANGUES,1,0,1,0,0,1
10,223,26,LANGUAGES,MASTER,LANGUES,0,1,0,0,1,1
9,202,22,MANAGEMENT,MASTER,INFORMATIQUE,1,0,0,0,0,1
14,701,16,LANGUAGES,MASTER,DATA_SCIENCE,0,0,1,0,1,1
2,228,23,MANAGEMENT,MASTER,BUSINESS,1,0,0,1,1,1
13,277,44,MANAGEMENT,MASTER,LANGUES,1,0,1,1,0,0
8,122,18,BACKEND,MASTER,BUSINESS,1,0,1,1,0,0
8,754,40,LANGUAGES,LICENCE,DATA_SCIENCE,1,1,0,0,1,1
8,512,28,MANAGEMENT,LICENCE,BUSINESS,0,1,0,0,1,1
9,782,27,DATA,MASTER,DATA_SCIENCE,1,1,0,0,1,0
8,355,30,MANAGEMENT,MASTER,BUSINESS,0,1,1,0,1,1
14,699,17,DATA,MASTER,BUSINESS,0,0,0,1,0,0
13,278,39,MANAGEMENT,MASTER,BUSINESS,0,1,0,1,0,1
4,479,22,MANAGEMENT,INGENIEUR,BUSINESS,0,0,1,1,1,0
15,591,8,OTHER,LICENCE,INFORMATIQUE,1,0,1,0,0,0
10,346,8,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
3,306,16,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,0,1
10,873,29,DATA,MASTER,LANGUES,1,0,0,0,0,0
4,760,25,DATA,MASTER,INFORMATIQUE,0,0,0,1,0,0
5,365,19,MANAGEMENT,MASTER,BUSINESS,1,1,0,1,1,1
8,303,31,LANGUAGES,MASTER,LANGUES,0,0,0,0,0,1
6,545,23,DATA,INGENIEUR,LANGUES,0,0,0,0,1,0
13,140,18,BACKEND,LICENCE,BUSINESS,0,1,0,0,0,0
5,351,19,MANAGEMENT,LICENCE,BUSINESS,0,0,0,0,1,1
9,477,29,BACKEND,MASTER,INFORMATIQUE,0,0,0,0,0,0
8,225,31,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,1,1,0
2,603,18,OTHER,INGENIEUR,DATA_SCIENCE,1,0,0,0,0,0
11,499,12,BACKEND,LICENCE,INFORMATIQUE,1,1,0,1,0,1
13,336,10,DATA,LICENCE,LANGUES,1,1,0,1,1,0
7,774,34,LANGUAGES,LICENCE,INFORMATIQUE,0,0,0,0,0,0
9,443,19,OTHER,MASTER,BUSINESS,0,0,0,1,1,0
11,328,17,MANAGEMENT,LICENCE,BUSINESS,1,0,1,0,1,1
12,256,32,BACKEND,INGENIEUR,DATA_SCIENCE,1,1,0,0,0,0
4,467,28,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,0,1
6,422,25,MANAGEMENT,LICENCE,BUSINESS,0,1,1,1,1,1
10,310,42,DATA,INGENIEUR,INFORMATIQUE,0,0,1,1,0,0
10,437,25,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,1,0,1
10,516,14,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,0,1,1
8,755,43,OTHER,INGENIEUR,DATA_SCIENCE,1,1,0,1,0,0
14,799,21,LANGUAGES,MASTER,LANGUES,1,0,1,1,0,1
0,206,24,OTHER,MASTER,INFORMATIQUE,0,0,1,1,0,0
2,181,16,LANGUAGES,INGENIEUR,LANGUES,0,1,1,1,1,1
1,894,19,BACKEND,MASTER,INFORMATIQUE,1,0,1,1,0,0
6,195,11,LANGUAGES,LICENCE,INFORMATIQUE,0,0,0,1,1,0
11,180,18,BACKEND,MASTER,INFORMATIQUE,1,1,0,1,0,1
10,354,18,MANAGEMENT,MASTER,BUSINESS,0,0,1,0,1,1
11,432,16,LANGUAGES,MASTER,LANGUES,0,0,1,0,1,1
6,203,15,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,1,1
5,498,29,LANGUAGES,INGENIEUR,LANGUES,1,0,0,1,1,1
2,473,12,DATA,LICENCE,DATA_SCIENCE,1,0,1,1,0,1
10,243,22,LANGUAGES,LICENCE,LANGUES,1,0,1,0,1,1
2,329,26,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,0,1
14,526,17,DATA,MASTER,LANGUES,1,0,1,0,0,0
10,439,18,LANGUAGES,MASTER,LANGUES,1,0,1,0,0,1
10,816,48,MANAGEMENT,MASTER,BUSINESS,1,0,1,1,1,1
3,503,16,MANAGEMENT,LICENCE,BUSINESS,1,0,0,1,1,1
8,205,27,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,1,0
8,462,35,DATA,MASTER,INFORMATIQUE,1,0,1,1,1,0
10,199,18,MANAGEMENT,LICENCE,BUSINESS,0,0,1,0,1,1
11,459,14,MANAGEMENT,LICENCE,BUSINESS,1,1,1,0,1,1
11,625,32,LANGUAGES,MASTER,DATA_SCIENCE,1,1,0,1,0,0
6,188,21,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,0,1
10,365,20,LANGUAGES,MASTER,LANGUES,0,1,0,0,1,1
11,723,46,DATA,LICENCE,DATA_SCIENCE,0,0,0,1,0,1
11,409,27,DATA,MASTER,DATA_SCIENCE,0,0,1,1,1,1
2,515,20,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,1,1
3,263,14,LANGUAGES,INGENIEUR,LANGUES,1,0,1,1,0,1
8,298,12,LANGUAGES,INGENIEUR,LANGUES,0,0,1,1,1,1
5,790,23,LANGUAGES,MASTER,DATA_SCIENCE,1,1,1,1,0,0
6,178,28,DATA,INGENIEUR,LANGUES,0,0,0,1,0,0
8,245,45,LANGUAGES,MASTER,BUSINESS,1,1,0,1,0,0
15,221,13,BACKEND,MASTER,BUSINESS,0,0,0,0,0,0
10,236,35,LANGUAGES,MASTER,BUSINESS,1,0,1,0,0,0
6,284,24,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,1,1
14,645,15,OTHER,LICENCE,LANGUES,1,1,1,0,0,0
11,498,19,LANGUAGES,MASTER,LANGUES,1,0,1,0,0,1
11,256,20,MANAGEMENT,LICENCE,BUSINESS,0,0,0,0,1,1
4,343,9,MANAGEMENT,INGENIEUR,INFORMATIQUE,1,0,1,0,0,0
12,699,33,MANAGEMENT,MASTER,DATA_SCIENCE,1,1,1,1,0,0
14,179,9,OTHER,LICENCE,BUSINESS,0,1,1,0,0,1
3,715,13,DATA,INGENIEUR,LANGUES,1,1,0,1,1,0
10,284,30,MANAGEMENT,MASTER,BUSINESS,0,1,0,0,1,1
2,826,45,DATA,INGENIEUR,INFORMATIQUE,1,0,0,1,1,0
3,367,27,MANAGEMENT,LICENCE,BUSINESS,1,1,1,1,1,1
9,815,15,MANAGEMENT,MASTER,DATA_SCIENCE,1,1,1,0,1,0
13,489,8,DATA,MASTER,INFORMATIQUE,0,0,0,1,0,0
8,711,28,LANGUAGES,LICENCE,INFORMATIQUE,0,0,1,1,1,0
1,361,33,BACKEND,LICENCE,BUSINESS,1,1,0,0,1,0
11,388,20,BACKEND,MASTER,INFORMATIQUE,1,1,0,1,1,1
4,411,17,MANAGEMENT,INGENIEUR,BUSINESS,1,0,1,1,1,1
13,445,40,DATA,INGENIEUR,BUSINESS,1,0,0,1,0,0
5,427,30,MANAGEMENT,MASTER,BUSINESS,1,1,0,1,1,1
8,899,17,LANGUAGES,MASTER,LANGUES,0,0,0,1,1,1
11,356,22,LANGUAGES,MASTER,LANGUES,0,0,1,0,1,1
10,200,21,DATA,LICENCE,DATA_SCIENCE,1,0,1,1,1,0
13,844,15,MANAGEMENT,LICENCE,BUSINESS,1,0,0,0,1,1
3,258,21,MANAGEMENT,LICENCE,BUSINESS,0,0,1,0,1,1
8,407,14,MANAGEMENT,INGENIEUR,BUSINESS,1,1,1,0,1,1
8,428,43,DATA,LICENCE,BUSINESS,0,0,1,0,1,0
11,341,13,LANGUAGES,MASTER,LANGUES,0,1,1,0,0,1
0,801,37,DATA,MASTER,BUSINESS,0,0,0,1,0,1
3,268,18,MANAGEMENT,LICENCE,BUSINESS,1,0,0,0,1,1
7,239,11,DATA,INGENIEUR,BUSINESS,1,1,0,1,0,0
11,270,27,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,0,1
2,328,22,LANGUAGES,MASTER,LANGUES,0,0,0,0,1,1
4,214,24,MANAGEMENT,LICENCE,BUSINESS,1,1,1,0,1,1
4,239,14,MANAGEMENT,LICENCE,BUSINESS,0,0,0,0,1,1
11,563,11,LANGUAGES,LICENCE,BUSINESS,0,0,0,0,0,0
8,412,38,LANGUAGES,INGENIEUR,BUSINESS,0,1,0,1,1,0
2,390,22,MANAGEMENT,MASTER,BUSINESS,0,0,1,0,1,1
10,754,14,BACKEND,MASTER,BUSINESS,0,1,1,0,1,0
11,237,28,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,1
6,355,45,MANAGEMENT,INGENIEUR,LANGUES,0,0,1,0,1,0
7,339,14,LANGUAGES,INGENIEUR,LANGUES,0,0,1,1,0,1
4,725,43,MANAGEMENT,MASTER,LANGUES,1,0,1,0,0,0
1,415,9,OTHER,LICENCE,BUSINESS,0,1,0,1,1,0
13,787,44,MANAGEMENT,LICENCE,DATA_SCIENCE,1,1,1,0,0,1
3,226,30,LANGUAGES,INGENIEUR,LANGUES,1,0,1,0,1,1
8,383,13,DATA,MASTER,DATA_SCIENCE,1,0,1,1,1,1
6,152,22,DATA,LICENCE,BUSINESS,0,1,0,1,1,0
13,348,9,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,0,0,0,1,0
4,192,22,BACKEND,INGENIEUR,LANGUES,0,0,1,0,0,0
11,473,26,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,0,1
5,266,21,DATA,INGENIEUR,BUSINESS,1,1,1,0,1,0
14,389,19,LANGUAGES,MASTER,DATA_SCIENCE,0,0,0,1,1,0
11,452,24,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,1,1
9,456,14,DATA,MASTER,DATA_SCIENCE,1,0,1,1,1,1
10,277,48,OTHER,MASTER,BUSINESS,1,1,0,0,0,0
12,703,28,MANAGEMENT,INGENIEUR,LANGUES,0,1,1,1,1,0
2,314,40,DATA,LICENCE,DATA_SCIENCE,1,0,0,0,0,0
8,730,20,OTHER,INGENIEUR,BUSINESS,0,0,0,0,1,0
2,379,15,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,1,1
0,557,46,OTHER,LICENCE,BUSINESS,0,0,0,0,0,0
10,624,37,BACKEND,LICENCE,INFORMATIQUE,1,0,1,0,0,1
11,500,28,OTHER,MASTER,LANGUES,0,0,0,1,1,0
6,509,23,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,0,1
4,806,14,DATA,MASTER,INFORMATIQUE,0,0,0,1,0,0
10,435,16,MANAGEMENT,LICENCE,BUSINESS,0,1,0,1,1,1
3,858,31,OTHER,LICENCE,LANGUES,0,0,1,0,1,0
4,598,15,LANGUAGES,INGENIEUR,DATA_SCIENCE,0,1,0,0,1,0
13,329,43,LANGUAGES,MASTER,DATA_SCIENCE,1,1,1,0,1,0
13,624,14,LANGUAGES,INGENIEUR,BUSINESS,1,1,0,0,0,0
11,647,8,LANGUAGES,INGENIEUR,LANGUES,0,0,0,1,0,1
1,496,41,OTHER,MASTER,INFORMATIQUE,0,0,1,0,0,0
2,749,21,MANAGEMENT,MASTER,INFORMATIQUE,1,0,0,0,1,0
4,487,30,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,0,1
6,307,29,LANGUAGES,MASTER,LANGUES,0,1,0,0,0,1
7,358,26,MANAGEMENT,INGENIEUR,BUSINESS,0,0,0,0,1,1
3,488,40,OTHER,MASTER,DATA_SCIENCE,0,0,0,1,0,0
7,395,29,DATA,MASTER,DATA_SCIENCE,0,0,1,1,1,1
10,582,29,DATA,LICENCE,BUSINESS,1,1,0,0,0,0
9,278,25,MANAGEMENT,MASTER,BUSINESS,0,1,1,1,1,1
7,331,13,DATA,MASTER,DATA_SCIENCE,1,0,1,1,0,1
7,294,21,MANAGEMENT,MASTER,BUSINESS,1,0,1,0,1,1
2,377,21,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,0,1
9,208,18,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,0,1
7,270,19,MANAGEMENT,LICENCE,BUSINESS,0,1,0,1,1,1
11,388,31,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,1,1
7,502,15,LANGUAGES,LICENCE,LANGUES,0,0,1,0,0,1
11,486,23,LANGUAGES,MASTER,LANGUES,1,0,1,1,1,1
5,406,14,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,0,0,1
14,706,27,OTHER,INGENIEUR,LANGUES,1,1,1,0,1,0
5,181,42,LANGUAGES,INGENIEUR,LANGUES,1,1,0,0,1,1
10,288,31,MANAGEMENT,LICENCE,BUSINESS,1,0,0,1,1,1
11,277,15,LANGUAGES,LICENCE,LANGUES,0,1,1,1,0,0
7,291,18,OTHER,INGENIEUR,LANGUES,1,1,1,0,1,0
6,216,30,MANAGEMENT,INGENIEUR,BUSINESS,0,0,1,1,1,1
9,338,28,LANGUAGES,LICENCE,LANGUES,1,0,0,0,0,1
5,477,36,DATA,LICENCE,LANGUES,1,1,1,1,0,0
6,348,33,BACKEND,MASTER,BUSINESS,1,1,0,0,0,0
4,224,30,DATA,MASTER,LANGUES,1,1,0,1,1,1
11,473,25,DATA,MASTER,DATA_SCIENCE,1,0,0,0,0,0
6,529,44,MANAGEMENT,INGENIEUR,INFORMATIQUE,1,0,0,0,0,0
11,512,16,MANAGEMENT,INGENIEUR,BUSINESS,0,0,0,1,1,1
11,322,21,OTHER,INGENIEUR,LANGUES,0,1,1,0,1,0
4,472,27,DATA,MASTER,INFORMATIQUE,0,0,1,1,1,0
7,212,18,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,1,1
3,272,29,LANGUAGES,LICENCE,LANGUES,0,1,1,0,1,1
6,496,18,MANAGEMENT,MASTER,BUSINESS,0,0,1,1,1,1
4,275,20,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,1,1
7,517,15,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,0,1
10,263,17,MANAGEMENT,LICENCE,BUSINESS,1,1,0,1,1,1
9,334,31,MANAGEMENT,MASTER,DATA_SCIENCE,0,1,1,0,0,0
13,280,9,DATA,MASTER,INFORMATIQUE,0,1,0,0,1,0
3,342,22,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,0,1
7,406,17,LANGUAGES,LICENCE,LANGUES,0,1,1,1,1,1
9,385,17,DATA,MASTER,DATA_SCIENCE,0,0,1,1,1,1
1,778,31,MANAGEMENT,MASTER,BUSINESS,0,0,1,1,1,0
7,369,26,OTHER,MASTER,DATA_SCIENCE,0,0,0,0,1,0
9,256,29,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,0,1
11,881,17,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,0,1
7,629,48,MANAGEMENT,LICENCE,DATA_SCIENCE,1,0,1,1,1,0
4,389,33,LANGUAGES,MASTER,BUSINESS,0,0,1,1,0,0
9,443,24,LANGUAGES,MASTER,LANGUES,1,0,0,0,1,1
8,496,28,OTHER,MASTER,LANGUES,1,1,0,1,1,0
1,768,19,OTHER,INGENIEUR,LANGUES,1,1,1,0,1,0
7,213,31,LANGUAGES,LICENCE,LANGUES,0,1,0,0,0,1
2,202,22,LANGUAGES,INGENIEUR,LANGUES,0,1,0,0,0,0
11,292,20,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,1,1
7,804,9,OTHER,INGENIEUR,INFORMATIQUE,0,1,1,1,0,0
5,894,27,MANAGEMENT,INGENIEUR,LANGUES,1,0,0,0,0,0
8,264,27,DATA,MASTER,DATA_SCIENCE,0,0,1,1,1,1
1,282,30,OTHER,MASTER,LANGUES,1,0,0,0,1,1
10,593,28,OTHER,INGENIEUR,INFORMATIQUE,1,1,0,1,1,0
11,443,16,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,0,1
9,518,29,MANAGEMENT,INGENIEUR,BUSINESS,0,0,1,1,1,1
10,255,26,MANAGEMENT,LICENCE,BUSINESS,0,1,1,0,1,1
6,333,22,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,1,1
3,237,48,DATA,LICENCE,INFORMATIQUE,0,0,1,0,0,0
10,702,43,MANAGEMENT,LICENCE,INFORMATIQUE,0,0,1,0,0,0
4,459,13,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,0,1
1,173,29,OTHER,MASTER,LANGUES,0,0,1,0,1,0
8,367,26,OTHER,MASTER,INFORMATIQUE,1,0,0,0,0,1
11,341,14,MANAGEMENT,INGENIEUR,BUSINESS,0,1,0,0,1,1
6,568,36,LANGUAGES,LICENCE,BUSINESS,1,1,0,1,1,0
11,492,30,BACKEND,MASTER,INFORMATIQUE,1,1,0,1,0,1
7,441,20,LANGUAGES,LICENCE,LANGUES,0,1,0,1,1,1
6,469,12,LANGUAGES,MASTER,LANGUES,1,1,1,0,0,1
11,223,18,MANAGEMENT,MASTER,BUSINESS,0,1,1,1,1,1
7,636,11,MANAGEMENT,MASTER,LANGUES,1,0,1,1,0,0
3,186,30,LANGUAGES,INGENIEUR,LANGUES,0,1,1,0,0,1
8,298,22,LANGUAGES,LICENCE,INFORMATIQUE,0,1,0,1,1,0
11,213,20,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,0,1,1
4,402,29,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,1,1
7,564,47,DATA,INGENIEUR,LANGUES,0,1,1,0,0,0
2,835,38,MANAGEMENT,INGENIEUR,LANGUES,1,1,1,0,1,0
2,728,22,DATA,LICENCE,DATA_SCIENCE,1,1,0,0,0,0
7,402,13,LANGUAGES,MASTER,LANGUES,0,0,1,0,1,1
10,293,16,DATA,MASTER,DATA_SCIENCE,0,0,1,1,0,1
7,332,19,MANAGEMENT,INGENIEUR,BUSINESS,1,1,0,1,1,1
8,322,29,LANGUAGES,MASTER,LANGUES,1,1,0,1,1,1
2,161,23,LANGUAGES,MASTER,INFORMATIQUE,1,0,0,1,1,0
4,247,19,DATA,MASTER,DATA_SCIENCE,1,0,1,1,0,1
11,269,27,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,1,1
0,410,18,OTHER,INGENIEUR,INFORMATIQUE,1,0,0,1,0,0
3,292,25,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,1,1
2,689,12,BACKEND,MASTER,DATA_SCIENCE,0,0,0,0,0,0
2,635,25,MANAGEMENT,INGENIEUR,LANGUES,0,1,1,1,0,0
8,510,20,BACKEND,MASTER,INFORMATIQUE,1,1,0,1,0,1
7,739,30,DATA,LICENCE,DATA_SCIENCE,1,1,1,0,1,1
4,271,16,DATA,MASTER,DATA_SCIENCE,0,0,1,1,1,1
1,223,26,DATA,LICENCE,INFORMATIQUE,1,0,0,1,0,0
8,509,30,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,1,1
2,584,32,BACKEND,INGENIEUR,INFORMATIQUE,1,0,0,0,0,1
10,483,15,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,1,0,1
0,138,46,LANGUAGES,MASTER,INFORMATIQUE,1,0,1,1,0,0
4,295,13,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
4,398,23,MANAGEMENT,MASTER,BUSINESS,1,1,0,0,1,1
6,419,24,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,1,1
10,653,43,LANGUAGES,MASTER,DATA_SCIENCE,0,1,1,0,0,0
5,263,10,DATA,MASTER,BUSINESS,1,0,0,0,1,1
3,321,20,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,1,1
11,334,19,MANAGEMENT,LICENCE,BUSINESS,0,1,1,0,1,1
4,709,16,BACKEND,MASTER,LANGUES,1,0,0,1,1,0
3,374,29,MANAGEMENT,LICENCE,BUSINESS,0,0,0,0,0,1
3,514,19,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,0,1
0,551,22,BACKEND,LICENCE,LANGUES,0,1,1,1,1,0
7,361,19,OTHER,MASTER,LANGUES,0,0,1,0,0,0
11,259,30,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,1,0
8,212,24,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
5,401,26,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,1,0
13,794,25,OTHER,MASTER,INFORMATIQUE,0,1,0,0,1,0
3,432,25,LANGUAGES,MASTER,LANGUES,1,1,0,0,0,1
10,463,46,MANAGEMENT,LICENCE,INFORMATIQUE,0,0,0,1,1,0
9,213,16,MANAGEMENT,MASTER,BUSINESS,0,0,0,1,1,1
9,337,18,DATA,MASTER,DATA_SCIENCE,1,0,1,1,0,1
12,177,16,MANAGEMENT,INGENIEUR,LANGUES,0,1,0,0,1,0
2,191,31,LANGUAGES,LICENCE,LANGUES,1,1,1,1,1,0
3,522,43,OTHER,INGENIEUR,LANGUES,1,0,0,1,1,0
11,609,24,DATA,MASTER,LANGUES,0,0,0,1,1,0
15,738,22,LANGUAGES,INGENIEUR,DATA_SCIENCE,1,0,1,1,1,0
11,591,20,BACKEND,LICENCE,LANGUES,0,0,0,1,0,0
2,181,28,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,1,1
7,385,21,MANAGEMENT,MASTER,BUSINESS,1,1,0,0,1,1
